NOMBRE,REGION,SUPERFICIE,S_TERRES,S_MARINA,PRIM_DEC,ULT_DOF,PCM1,SINAP,,,
Playa de la Bahía de Chacahua,"Frontera Sur, Istmo y Pacífico Sur",92.650654,92.650654,0,10/29/1986,7/16/2002,NA,NA,0,1,
Arrecifes de Cozumel,Península de Yucatán y Caribe Mexicano,11987.875,82.278916,11905.59608,7/19/1996,6/7/2000,10/2/1998,SINAP,1,1,
Banco Chinchorro,Península de Yucatán y Caribe Mexicano,144360,585.786928,143774.2131,7/19/1996,7/19/1996,9/25/2000,SINAP,1,1,
"La porción norte y la franja costera oriental, terrestres y marinas de la Isla de Cozumel",Península de Yucatán y Caribe Mexicano,37829.17005,5733.209038,32095.96102,9/25/2012,9/25/2012,10/29/2015,SINAP,1,1,
Arrecife de Puerto Morelos,Península de Yucatán y Caribe Mexicano,9066.6311,37.743644,9028.887456,2/2/1998,2/2/1998,9/18/2000,SINAP,1,1,
Complejo Lagunar Ojo de Liebre,Península de Baja California y Pacífico Norte,79328.97663,79328.97663,0,1/14/1972,6/7/2000,8/8/2016,SINAP,0,0,
Sistema Arrecifal Veracruzano,Planicie Costera y Golfo de México,65516.47081,12.240805,65504.23,8/24/1992,11/29/2012,5/22/2017,SINAP,1,1,
Cerro Mohinora,Norte y Sierra Madre Occidental,9126.356869,9126.356869,0,7/10/2015,7/10/2015,5/22/2017,NA,0,0,
El Veladero,Centro y Eje Neovolcánico,3617.41303,3617.41303,0,7/17/1980,11/29/2000,NA,NA,0,0,
Dzibilchantún,Península de Yucatán y Caribe Mexicano,539.439268,539.439268,0,4/14/1987,4/14/1987,10/29/2015,NA,0,1,
Zona marina del Archipiélago de Espíritu Santo,Península de Baja California y Pacífico Norte,48654.83104,0,48654.83104,5/10/2007,5/10/2007,1/19/2015,SINAP,1,1,
Islas del Pacífico de la Península de Baja California,Península de Baja California y Pacífico Norte,1161222.979,70139.62399,1091083.355,12/7/2016,12/7/2016,NA,NA,1,1,
Sierra de Tamaulipas,Planicie Costera y Golfo de México,308888.2182,308888.2182,0,12/7/2016,12/7/2016,NA,NA,0,0,
Caribe Mexicano,Península de Yucatán y Caribe Mexicano,5754055.363,28589.49741,5725465.866,12/7/2016,12/7/2016,11/30/2018,NA,1,1,
Sierra de Quila,Occidente y Pacífico Centro,15192.5,15192.5,0,8/4/1982,6/7/2000,NA,NA,0,0,
Bavispe,Noroeste y Alto Golfo de California,200900.66,200900.66,0,9/9/1939,5/22/2017,NA,NA,0,0,
Pacífico Mexicano Profundo,"Península de Baja California y Pacífico Norte, Occidente y Pacífico Centro y Frontera Sur, Istmo y Pacífico Sur,",43614120.19,0,43614120.19,12/7/2016,12/7/2016,6/5/2018,NA,1,1,
Revillagigedo,Península de Baja California y Pacífico Norte,14808780.12,15518.22153,14793261.9,11/27/2017,11/27/2017,11/30/2018,NA,1,1,
Islas del Golfo de California,Península de Baja California y Pacífico Norte; Noroeste y Alto Golfo de California,374553.6311,374553.6311,0,8/2/1978,6/7/2000,4/17/2001,NA,0,1,
Sierra de Álvarez,Noreste y Sierra Madre Oriental,16900,16900,0,4/7/1981,6/7/2000,NA,NA,0,0,
Los Tuxtlas,Planicie Costera y Golfo de México,155122.469,155122.469,0,11/23/1998,11/23/1998,11/27/2009,SINAP,0,1,
Médanos de Samalayuca,Norte y Sierra Madre Occidental,56134.38021,56134.38021,0,6/5/2009,6/5/2009,4/2/2013,NA,0,0,
Cascada de Agua Azul,"Frontera Sur, Istmo y Pacífico Sur",2580,2580,0,4/29/1980,6/7/2000,5/22/2017,NA,0,0,
Sierra de San Miguelito,Noreste y Sierra Madre Oriental,111160.4428,111160.4428,0,12/13/2021,12/13/2021,NA,NA,0,0,
Gogorrón,Noreste y Sierra Madre Oriental,36499.66,36499.66,0,9/22/1936,9/22/1936,8/8/2016,NA,0,0,
La Michilía,Norte y Sierra Madre Occidental,35000,35000,0,7/18/1979,6/7/2000,NA,SINAP,0,0,
,,,,,,,,,,71,
