cve_ent,cve_mun,cve_loc,cve_ageb,nomloc
7,89,94,259,Hermosillo
7,89,102,030A,Joaquín Miguel Gutiérrez (El Manzano)
7,89,115,263,Manga de Clavo
7,89,203,297,Los Toros (Estación)
7,89,490,259,Lomas de Esmeralda
7,89,871,297,Playa Linda
7,89,1018,297,Dorados de Villa
7,93,7,35,Chalam
7,94,11,28,Flores Magón
7,94,13,47,Los Llanitos
7,94,16,47,Nuevo León
7,94,134,32,Benito Juárez
7,94,170,47,Tierra Colorada
7,97,39,123,Palo Blanco
7,97,65,123,Vicente Guerrero
7,97,71,123,General Lázaro Cárdenas (Vuelta Rica)
7,97,494,138,Las Palmas
7,97,1467,138,La Polkita
7,99,221,39,San Caralampio Monte Pálido
7,99,239,39,San Juan del Valle
7,99,472,96,José Castillo Tiélemans
7,99,683,221,Juan Sabines Gutiérrez
7,99,684,240,Nuevo Villaflores
7,99,685,221,Veinte de Abril
7,99,1018,240,Álvaro Obregón
7,99,1042,96,Nueva Esperanza
7,99,1044,96,Nuevo Paraíso
7,100,63,46,Arroyo Agua Azul
7,102,3,21,Silvano Gatica
7,102,8,21,2da. Sección de Izapa
7,102,12,36,1ra. Sección de Medio Monte
7,102,14,36,Omoha
7,103,15,14,Nueva Tenochtitlán
7,103,28,14,El Tarral
7,103,47,29,Cantón Vega de Tepuzapa
7,104,58,45,Francisco Villa
7,104,88,45,Doctor Manuel Velasco Suárez
7,104,110,26,Nueva Libertad
7,106,169,73,Belisario Domínguez
7,106,895,011A,Fraccionamiento Trinidad Oquil
7,107,1371,259,Nuevo Mitontic (El Cimarrón)
7,108,328,222,Úrsulo Galván
7,108,346,171,Josefa Ortiz de Domínguez
7,108,2321,237,Nueva Esperanza
7,109,30,37,Lázaro Cárdenas
7,109,233,37,El Recreo
7,110,12,23,Laguna del Carmen
7,111,26,20,Jechtoch
7,111,30,20,Chactoj
7,114,58,75,Boca Lacantún
7,115,26,53,Nuevo Rodulfo Figueroa
7,115,35,49,Plan Santo Domingo
7,116,3,101,Licenciado Adolfo López Mateos
7,116,13,007A,Nuevo Paraíso
7,116,15,116,Playón la Gloria
7,116,17,46,Quiringuicharo
7,116,18,99,Reforma Agraria
7,117,23,58,Laguna del Cofre
7,117,32,43,Nuevo Milenio Toluca
7,117,84,58,Nuevo Río Negro
7,118,3,21,Jotolchén
7,124,177,71,San Marcos
7,124,197,86,Benito Juárez Villa Rural
8,1,351,2231,Villa Ahumada y Anexas
8,1,354,2316,Ejido Zaragoza
8,1,796,2551,Ejido Lucio Blanco
8,4,4,129,San Guillermo (Santa Elena)
8,4,146,129,Praderas de San Antonio
8,6,11,161,Francisco I. Madero
8,6,14,195,El Porvenir
8,6,43,161,San Juan de los Ojos
8,7,223,915,Puerto Tres Hermanos
8,10,111,1181,Primero de Mayo (San Francisco)
8,10,276,1209,Colonia el Valle
8,11,59,2632,Floreño
8,11,92,2632,Maravillas
8,11,129,2685,Presilla Alta (Los Chizos)
8,11,138,2685,Rancho Viejo
8,11,155,2632,San Ignacio
8,11,642,2685,Las Pilas
8,12,25,506,Ranchería Guahuachérare
8,14,10,337,Conquista Agraria
8,17,4,1337,Allende
8,17,17,1500,Campo 2A
8,17,18,1464,Campo 2B
8,17,20,1464,Campo 3B
8,17,50,1464,Campo 22
8,17,63,1394,Campo 104
8,17,144,1356,Colonia Vianna
8,17,158,145A,Campo 6 1/2 A
8,17,159,1411,Campo 6 1/2 B
8,17,160,1411,Campo 6 1/2 C
8,17,281,1500,Campo 22 1/2
8,17,342,138A,Granjas el Venado
8,17,357,1375,Colonia Margarita Maza de Juárez (Las Margaritas)
8,17,370,1375,Campo 102 1/2
8,17,478,1500,Kilómetro 7 Corredor Comercial Manitoba
8,17,641,145A,Kilómetro 16 Corredor Comercial Manitoba
8,17,642,145A,Kilómetro 17 Corredor Comercial Manitoba
8,17,665,1375,Campo 100
8,17,743,1479,Kilómetro 10 Corredor Comercial Manitoba
8,17,894,1411,Campo 8C
8,18,34,228,Rancho de González
8,18,51,196,Colonia México (La Lagunita)
8,18,69,285,San Bernabé
